ID,Year,Field,Depth,ECe,Ward ECe,ECpw,BulkD,ssatGWC,PasteGWC,Na,Ca,Mg,K,HCO3,SO4,Cl,NO3,CaCO3,Gypsum,PasteGaponCaMg,PasteGaponCaNa,PasteGaponCaK,CEC,change_Na,change_Ca,change_Mg,change_K,change_HCO3,change_SO4,change_Cl,change_NO3
1,2018,DL0,15,11.69,11.69,2.25,1.406282041,0.276013143,0.618101808,100.8152863,28.58915347,39.78509082,1.688232126,2.445210572,119.8277818,31.13732315,17.46744719,146.79,23.86928817,0.307057458,10.5777293,0.498139583,41.3,86.6374131,28.43550042,63.74132621,1.586115736,9.30060905,152.716025,16.54973502,1.833986343
2,2018,DL0,50,8.58,11.6,21.58,1.585158997,0.261516065,0.583319543,97.45539891,19.86341599,35.97495434,3.88752928,2.804706546,139.7224276,13.31326324,1.340901259,73.35,23.47224643,0.207022835,8.481368533,2.120729226,55.9,224.7409737,23.70415628,112.3265896,1.920339724,23.47048165,308.1382039,29.50073643,1.582637296
3,2018,DL0,100,13.35,13.33,9.46,1.432892749,0.292988134,0.539632546,116.5102821,18.17867935,42.33080785,0.691078652,1.442894772,156.4613296,15.6450596,4.161564039,72.67,22.60319217,0.176420483,12.22912161,0.83214716,46.2,90.79640453,24.09470299,45.94343674,0.691112887,15.12161183,128.3137232,18.03327984,0.057040612
4,2018,DL1,15,1.178,1.45,2.155,1.227874362,0.282944673,0.667059101,3.290847167,9.919483544,4.186278966,0.127916518,2.00556081,14.96744203,0.480194441,0.071328915,74.94,8.223214667,0.359508983,2.194675223,0.083762634,33.3,7.557456581,19.61550143,10.19662877,0.204701917,11.39203378,24.76126171,1.356812724,0.064180478
5,2018,DL1,50,1.118,1.24,1.482,1.436232889,0.245019391,0.59755102,24.51051347,9.003416823,11.59704013,0.166373686,1.814407747,39.72104754,3.321040099,0.420848724,116.4,2.364155067,0.185134892,40.00600817,0.264065969,33.6,5.114362554,12.93721744,6.65986792,0.102344418,12.50383033,11.58121984,0.678817066,0.049924916
6,2018,DL1,100,1.504,1.82,2.97,1.604675356,0.22763695,0.648568608,5.56269388,10.41963713,5.351029421,0.739444015,2.68377156,17.12403825,0.963705928,1.301288723,129.62,2.865639067,0.234990904,8.020575495,1.035349706,30.2,9.811560273,26.89939211,18.16202938,0.076793885,10.14224493,43.47068466,0.958797182,0.37804834
7,2018,DL2,15,1.4,1.29,9.39,1.287251573,0.300791851,0.680109739,3.517683346,5.613670679,4.160850419,0.471678889,2.547303905,9.32451198,0.752309237,1.139758212,147.15,3.9020296,0.254135705,6.163002716,0.267644129,32.4,82.71255964,24.5985596,50.70148005,0.281580344,16.32792086,125.401254,14.93153853,1.633466255
8,2018,DL2,50,2.69,3.27,3.81,1.412134189,0.248522167,0.605556771,8.198527554,27.88921799,12.44629614,0.102390371,1.197873621,46.77369435,0.450919186,0.213944859,200.23,2.368048667,0.348325069,2.448082326,0.045297846,32.8,26.39778368,16.5083422,16.80808028,0.332623904,11.924199,42.28454329,5.517057781,0.321029504
9,2018,DL2,100,4.32,5.11,4.66,1.604592543,0.254616938,0.524383408,27.80377538,21.79970411,23.43045608,0.179179891,1.164591995,70.52307922,1.268720356,0.256723883,56.49,7.655166667,0.217802049,3.639863358,0.183111779,58.2,34.24655197,16.72298323,22.66368059,0.307104528,11.1805542,55.37092446,6.868054242,0.520786794
10,2018,DL3,50,4.75,4.84,5.65,1.484016224,0.267790928,0.600108666,26.30663561,20.71142028,16.00776708,0.179174916,1.789174005,58.53945617,2.48408936,0.392278357,153.99,6.74147,0.353088911,4.341108614,0.086355591,36.6,42.08196765,28.70899728,25.94202326,0.281564142,14.13961328,78.38594939,4.431948115,0.05704154
11,2018,DL3,100,5.94,5.78,7.98,1.492794445,0.251661803,0.522897258,36.83592704,23.15203892,19.82506341,0.255958373,1.591536213,71.10952377,7.218182609,0.149745133,97.32,1.867226567,0.258603046,6.326484027,0.255673952,41.5,70.54764632,28.86357958,28.71105532,0.639795806,17.56702851,92.50591175,18.63209504,0.057041727
12,2018,HIGH1,15,5.08,6.81,6.83,1.406282041,0.234839324,0.656374767,26.76933859,22.65723815,22.38040132,0.562850283,1.87275044,68.08259978,1.693710835,0.720767313,146.79,23.86928817,0.371268583,2.649142224,0.161054342,41.3,47.90614511,17.51797232,26.0607776,0.639743477,8.174462325,72.71003215,9.183830588,2.056312557
13,2018,HIGH1,50,8.38,12.89,13.1,1.585158997,0.239252074,0.547329193,57.95150537,21.9444298,34.6164244,0.332774643,1.492024647,103.631344,7.874275966,1.847489594,73.35,23.47224643,0.223395641,4.480987598,0.163388984,55.9,99.66424591,25.1762906,49.50719696,0.537566857,9.697897612,129.5842573,29.20256234,6.400583043
14,2018,HIGH1,100,6.79,14.64,14.5,1.432892749,0.313591302,0.563869992,56.21298544,9.008914659,18.99087685,0.179190952,1.492147451,71.76190923,9.689902099,1.448009138,72.67,22.60319217,0.188887251,7.082909822,0.264742659,46.2,123.8481388,22.78443178,56.00823677,0.511989985,11.75699561,166.4740753,23.34589767,1.575826459
15,2018,HIGH2,15,8.23,13.25,13.54,1.406282041,0.269662617,0.67883549,60.58763225,22.65633901,35.31498091,0.793361421,2.034025125,114.0425692,2.904903859,0.370815413,146.79,23.86928817,0.292164694,6.572327741,0.249598762,41.3,116.1866124,18.78107301,50.11074042,0.844637262,6.993985068,160.2732829,16.77261216,1.883180877
16,2018,HIGH2,50,10.55,16.23,16.18,1.585158997,0.229227094,0.561213434,89.56951839,18.96976887,37.33353671,0.793440482,1.623314844,137.8466081,6.490338124,0.706003383,73.35,23.47224643,0.198769083,7.885840426,0.438233204,55.9,138.4890723,19.56480054,52.06263128,0.947327035,8.480020931,173.0430069,26.32660512,3.214195566
17,2018,HIGH2,100,9.26,11.96,12.14,1.432892749,0.25484198,0.606960082,74.18570309,19.01451739,30.90182743,0.460772369,1.393409271,114.2365132,8.291142758,0.641755003,72.67,22.60319217,0.213472242,6.949372665,0.507579725,46.2,93.72870962,25.2606964,47.43292092,0.383991106,11.10355204,137.2984651,18.13335454,0.270944483
18,2018,LOW1,15,2.046,6.14,4.86,1.227874362,0.248448721,0.633395275,9.917168057,10.1549232,5.450799686,0.179133145,2.008481486,20.88703762,2.521123896,0.285381084,74.94,8.223214667,0.314711527,6.890075151,0.121589117,33.3,34.72787779,25.92372403,25.59796996,0.537325044,7.799246903,63.01495174,13.68560301,2.287094466
19,2018,LOW1,50,5.62,10.22,10.17,1.436232889,0.234165561,0.549823855,35.2832918,18.77223142,19.27527544,0.127993593,1.935538153,63.61540525,7.572693265,0.335155577,116.4,2.364155067,0.20635361,42.69151043,0.151726051,33.6,74.90914994,25.72261563,33.68762488,0.179191598,8.015694764,95.13646206,30.96136372,0.385060259
20,2018,LOW1,100,7.03,18.21,21.81,1.604675356,0.26084007,0.548061056,48.66061175,20.9294569,20.41805721,0.358377169,1.590288385,77.42030852,11.2061721,0.149734065,129.62,2.865639067,0.165556837,60.34917844,0.437215347,30.2,185.9364685,24.95432588,87.65294167,1.152116067,14.42187509,234.589747,50.62718677,0.057039723
21,2018,LOW2,15,1.765,3.64,3.55,1.227874362,0.25152032,0.635950215,6.689569872,10.60905401,5.476767819,0.179077339,2.367003839,18.8638314,1.530967059,0.192666745,74.94,8.223214667,0.32288694,4.480471313,0.116621118,33.3,15.53660283,24.39642955,14.84579732,0.383709276,6.768982259,40.52515525,7.297283089,0.571118377
22,2018,LOW2,50,4.6,5.14,5.14,1.436232889,0.248433712,0.549332184,20.41798001,22.32539564,21.59500601,0.102395271,1.525359028,61.01739896,1.71975404,0.178264892,116.4,2.364155067,0.212855886,22.27929827,0.110025766,33.6,27.9269913,24.52631752,20.77788461,0.281533846,6.627541364,60.09747221,6.43110022,0.356613475
23,2018,LOW2,100,6.19,9.19,9.3,1.604675356,0.254037512,0.481064316,38.16262528,20.77709277,26.05603116,0.127989628,1.361625434,79.62928324,3.926031195,0.206799002,129.62,2.865639067,0.145816617,47.84889888,0.155332452,30.2,66.34181217,22.04188498,43.74262035,0.230387703,10.38431394,109.6071352,11.7234555,0.641799139
24,2018,X-HI,15,11.66,12.04,14.78,1.406282041,0.288858062,0.68240988,99.49830487,20.70374742,43.37769055,0.767925192,4.952971802,146.936842,12.38655356,0.071300662,146.79,23.86928817,0.250421904,11.92555334,0.268965951,41.3,148.8486449,27.97875131,84.34252826,1.792142912,19.38921964,219.3716033,24.14420146,0.057039857
25,2018,X-HI,50,13.2,16.42,27.6,1.585158997,0.250482759,0.567557252,153.8966361,19.39774601,47.16110767,0.947168202,1.884977615,199.3761177,19.53549955,0.60606319,73.35,23.47224643,0.177026519,14.47022884,0.565745436,55.9,349.845049,24.66155422,131.9098929,1.945668239,22.83830847,435.4784087,47.22923266,2.816207889
26,2018,X-HI,100,21.8,23.57,16.56,1.432892749,0.260105786,0.544149809,238.3904961,25.84554162,70.46859684,1.177698432,2.540006086,301.4278334,31.6221694,0.29232412,72.67,22.60319217,0.159626674,23.88638612,1.402802264,46.2,198.7527056,25.68289872,70.75135474,0.793680923,24.64111447,245.1615259,26.11383014,0.064169494
27,2017,DL1,30,1.51,1.51,2.13,0.997073401,0.31546996,0.741752157,5.294570139,11.42621282,3.884830108,0.179845604,9.106707471,9.892718907,1.594074624,0.191957667,114.3416662,2.063054517,0.344003288,6.836169466,0.126678042,39.4,5.171947756,20.63392691,7.619090182,0.256835106,16.11747299,13.92667939,3.616261821,0.021385751
28,2017,DL1,120,4.51,4.51,6.35,1.482359956,0.266608645,0.317235356,29.11292105,25.56958964,19.86971558,0.128103283,28.40650176,43.80647389,2.424581883,0.042772014,129.6205263,2.865639067,0.220279847,9.263860505,0.140592684,43.1,42.9037107,29.87017134,35.56203099,0.051210122,41.88791078,61.03504806,5.435646605,0.028517714
29,2017,DL2,30,0.93,0.93,1.96,1.156075139,0.279937571,0.676424656,3.8683381,7.134846038,2.897106673,0.128206961,7.074495362,5.655359829,1.277257654,0.021384942,292.4884599,3.063038333,0.283239317,3.07389745,0.106333111,37.5,4.770759374,16.41459357,6.636155641,0.153887115,13.95997183,11.41114681,1.580761293,1.023515447
30,2017,DL2,120,1.68,1.68,3.73,1.454203398,0.183265857,0.629106201,5.68746615,11.56611634,4.409936606,0.102643233,9.163745614,11.46148264,1.13380488,0.007129193,147.15,3.9020296,0.305071897,3.654136821,0.073405473,38.9,13.14246242,28.63910221,16.04739414,0.051220787,26.00797912,28.39688555,3.396919729,0.078395164
31,2017,DL3,30,2.23,2.23,3.88,1.269198251,0.285728118,0.768096055,8.278075983,20.05032279,7.399656323,0.256936852,15.4724535,18.63834257,1.85281034,0.021385558,103.1113243,2.868750333,0.395301723,1.606773092,0.137049654,46,13.05077838,38.73196158,17.3749706,0.256549198,29.9274856,32.87479409,5.323772325,1.288207744
32,2017,DL3,60,5.67,5.67,8.56,1.570473419,0.22840773,0.62922872,37.70931318,30.42634996,27.67325635,0.333379628,35.88593292,54.98361453,5.222850575,0.049901099,213.4164618,8.412008,0.24847362,5.275285476,0.323707052,54.6,67.80256821,29.17893038,50.40488993,0.281818814,52.29356752,82.98307041,11.33149974,1.060069667
33,2017,DL3,120,5.5,5.5,10.04,1.440953253,0.290138549,0.630835919,37.38714625,28.18128729,25.54398305,0.256333595,33.96866909,53.76000745,3.092134456,0.54793918,148.5122794,47.54732267,0.282098398,2.73385474,0.237640621,51.3,88.88763163,25.52679852,49.71749953,0.563799692,53.08346535,100.3393256,11.27293648,0
34,2019,DL0,15,6.56,#N/A,7.52,1.534863655,0.348794517,0.703296703,40.95252099,23.4929249,21.72139187,1.125948859,1.984665724,79.01331187,4.882321329,1.412487792,161.6,19.86,0.350893016,3.328054165,0.328149701,51,55.67626431,20.95143097,28.09206029,1.281124178,0.058996151,24.74785713,4.985105589,76.20892088
35,2019,DL0,100,10.09,#N/A,13.89,1.621652104,0.272738109,0.621456764,92.21891043,20.37347507,33.49690264,0.563131441,1.360790868,135.1454372,8.948025258,1.198166301,95.6,46.08,0.256162536,6.34912037,0.562949612,41.2,123.9205147,21.52418807,55.0026492,0.640154507,0.050805857,36.12278943,21.73118524,143.182726
36,2019,DL0 Mid,50,10.34,#N/A,30.9,1.614695778,0.314585458,0.730354391,94.75513814,21.2257974,33.73050065,1.151517637,1.738537347,138.1294012,8.989893049,2.00512235,172.2,41.33,0.235418561,6.101935562,0.565289617,56.4,387.3726415,31.57182145,156.8646579,2.943827458,23.08793881,496.4547992,56.06567222,3.14453083
37,2019,DL0 Mid,100,12.81,#N/A,13.96,1.621652104,0.264874953,0.643383436,122.3724421,20.01308911,36.2392348,0.819171947,1.475192304,164.9876286,12.20392145,0.777195617,105.4,47.35,0.243016884,8.769182607,0.863420349,41.2,189.1919113,30.09499165,90.88949138,1.100582472,0.11473255,283.1788585,27.27028724,0.713098488
38,2019,DL2,15,1.242,#N/A,2.2,1.523932286,0.328947368,0.708788983,4.286991459,7.181449847,3.471044754,0.561481411,2.258635341,12.49900699,0.62202774,0.121297511,121,3.82,0.391584336,3.18205169,0.271664859,36.9,8.54593661,15.4630338,7.531776457,1.184338552,0,19.41649994,1.764016924,11.54456855
39,2019,DL2 Mid,15,1.884,#N/A,2.58,1.523932286,0.317061974,0.705391719,8.076418565,11.10632076,5.750853935,0.536817489,2.110853075,22.29209865,0.9604756,0.106983611,111.4,2.35,0.376219992,5.082968904,0.21998913,36.9,10.79631685,17.7430231,9.273940633,0.937379541,0,21.68324777,2.884994315,14.18241803
40,2019,DL2 Mid,50,4.52,#N/A,7.1,1.295532914,0.257566938,0.630976238,24.13779294,23.05808129,17.37051297,0.230358639,1.986468796,60.7257055,1.720831609,0.363740229,57.2,2.82,0.420112378,2.345656578,0.098234702,41,83.60681697,29.24740804,39.01219087,1.619121908,0,65.51242758,13.67158078,74.30152943
41,2019,DL2 Mid,100,5.38,#N/A,7.85,1.454700279,0.251454697,0.625343272,31.33700797,23.16480778,20.94753987,0.281578338,1.180471036,70.9746332,3.411832412,0.16399755,159.2,100.11,0.319344661,3.247608721,0.129296236,36.9,61.71008358,28.00075004,28.22624942,0.846459713,0.003277961,42.0759179,16.67898614,60.0253583
42,2019,XHI,15,8.67,#N/A,25.7,1.534863655,0.394204232,0.693005671,64.84053254,23.737883,25.69641952,1.100535481,2.016909947,96.48437281,13.6489257,3.225162079,138,6.68,0.322648536,5.492001407,0.333742688,51,288.6387649,30.79237054,127.7499676,2.714648283,29.28897492,363.8797552,55.30841823,1.418602943
43,2019,XHI,50,13.54,#N/A,27.9,1.614695778,0.291730537,0.684782609,126.1174423,21.33995451,41.00160326,1.407730988,1.557394797,172.706136,13.3779365,2.225263782,157.6,50.69,0.212885704,8.404286716,0.72640349,56.4,327.836695,31.43006404,135.3264539,3.174278438,24.7072086,414.582307,54.20688228,4.271093571
44,2019,XHI,100,15.92,#N/A,25.1,1.621652104,0.315343613,0.675247525,156.7375832,21.23100802,44.42472717,1.228661983,1.704835447,199.4797265,20.54763028,1.889788429,127.4,22.37,0.224375618,11.57039565,1.317609619,41.2,247.4700425,20.06256482,81.23010168,1.049841854,0.398162695,53.44465423,44.79226022,251.1774598
45,2019,DL1,15,1.916,#N/A,3.59,1.36062425,0.241848686,0.632102729,5.901511257,11.58036794,5.316930385,0.536474783,2.139414056,13.73203488,1.849878121,5.61395731,125,3.16,0.320199022,7.59400596,0.224697894,35.7,17.50510666,23.83586377,12.89360508,0.667194793,1.845094582,21.74253552,4.683087649,26.63105255
46,2019,DL0,15,3.6,#N/A,5.29,1.534863655,0.394906187,0.629546726,11.59505856,28.20705512,13.58265022,0.716582114,1.738658414,49.84510222,2.453413581,0.064171798,161.6,19.86,0.490474257,0.794363357,0.178232482,51,40.98395086,21.97691899,24.28564522,1.126065629,5.219381508,79.89624298,3.214174718,0.042780496
47,2019,DL0,100,8.86,#N/A,10.74,1.621652104,0.33811389,0.576729393,77.81157609,21.22020024,29.75571967,0.537535114,1.114811388,118.8734223,8.58088347,0.755913989,95.6,46.08,0.278326962,5.102291378,0.513781583,41.2,97.27377915,20.47476009,44.55347276,0.691071538,8.67524275,134.8565389,18.49135241,0.96994771
48,2019,DL0 Mid,100,10.45,#N/A,15.86,1.621652104,0.329804488,0.583074051,99.74097811,21.5724855,29.18989479,0.511941936,1.295200887,138.6285048,10.2500896,0.841505032,159.2,47.35,0.282398683,6.715034363,0.499188922,41.2,150.9978608,23.68236442,67.89504562,0.511981323,13.84708815,209.6341147,19.60604935,0
49,2019,DL2,15,3.08,#N/A,1.825,1.523932286,0.440732465,0.720203488,14.35285544,19.49785483,9.616741081,0.588452037,1.839250415,40.53718254,1.636688489,0.042781939,161.6,3.82,0.382819921,7.297018696,0.19583341,36.9,9.631974974,9.275455725,6.142752408,0.689831694,7.216596447,16.91681448,1.556686262,0.049917613
50,2019,DL2,100,1.706,#N/A,7.77,1.454700279,0.325239878,0.637168142,9.193137596,7.856091505,4.690727508,0.306857589,2.39936023,18.51981627,0.706253039,0.421384689,95.6,4.14,0.400076076,1.396507073,0.202336005,36.9,53.98910979,22.32476395,29.0567485,0.332833605,11.72741575,87.25623962,6.691280702,0.028519761
51,2019,DL2 Mid,15,1.562,#N/A,1.667,1.523932286,0.469341925,0.697058824,5.12567698,10.26113998,4.855664923,0.460083019,2.313841943,17.56203466,0.791033656,0.035654644,111.4,2.35,0.394781107,3.265024135,0.191855278,36.9,7.161913541,9.675500672,5.543132268,0.536384998,7.938858585,13.83835185,1.132590648,0.007130232
52,2019,DL2 Mid,50,1.046,#N/A,9.28,1.295532914,0.297776667,0.693674699,4.275143699,5.519186747,2.796396956,0.382505354,2.718987767,9.630115065,0.595600555,0.028529368,57.2,2.82,0.525396095,0.702895096,0.27088989,41,78.3893834,27.40767418,40.08890142,0.332772797,11.83640979,122.2031823,12.15061951,0.028520208
53,2019,DL2 Mid,100,4.8,#N/A,7.08,1.454700279,0.330395051,0.68,27.4722782,22.46227175,17.67323869,0.230355777,1.427755517,64.88485459,1.297327575,0.228206736,159.2,100.11,0.34356309,2.859390376,0.104733967,36.9,49.86867633,23.48961598,22.3330086,0.409582393,10.30414936,72.28400457,13.51272845,0
54,2019,XHI,100,11.37,#N/A,24.5,1.621652104,0.301472914,0.593667546,108.6454419,20.17990225,31.06207997,0.614349708,1.426210776,144.5010893,13.46202295,1.112450834,127.4,22.37,0.264410336,7.603678649,0.627340539,41.2,295.0625045,27.09046093,96.59067032,2.124279881,10.76604297,360.6483446,49.45352807,0
